127.0.0.1 - - [14/Jun/2023:16:41:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:41:41 +0900] "GET /web_day1/index.html HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:41:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:50:19 +0900] "GET /web_day1/index.html HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:50:34 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:50:36 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:54:16 +0900] "GET /web_day1/index.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:55:25 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:56:17 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:59:03 +0900] "GET /web_day1/index.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [14/Jun/2023:16:59:05 +0900] "GET /web_day1/index.html HTTP/1.1" 304 -
